feature,importance
hsa-mir-521-1,48.8190389395
hsa-mir-3619,48.6161935058
hsa-mir-3194,47.987322575
hsa-mir-548a-3,47.9219189901
hsa-mir-3937,47.2998875421
hsa-mir-518e,46.1958614804
hsa-mir-215,45.8156618856
hsa-mir-1284,45.610792987
hsa-mir-3617,45.5322117623
hsa-mir-3137,45.501799722
hsa-mir-937,45.4579826311
hsa-mir-3193,45.4558544985
hsa-mir-570,45.3835865799
hsa-mir-147b,45.2978249016
hsa-mir-3187,45.1935213673
hsa-mir-3926-2,44.7431347112
hsa-mir-3664,44.7344250192
hsa-mir-1269,44.4836987091
hsa-mir-1303,43.963491904
hsa-mir-3151,43.9303260561
hsa-mir-3939,43.3587736855
hsa-mir-621,43.1463176192
hsa-mir-422a,42.9097912931
hsa-mir-133a-1,42.8051707283
hsa-mir-1910,42.6063970178
hsa-mir-3924,41.7721469744
hsa-mir-3145,41.5653971558
hsa-mir-1278,41.5187972265
hsa-mir-548v,41.4494281932
hsa-mir-3138,40.7913811608
hsa-mir-1250,40.1988232717
hsa-mir-600,39.9310874394
hsa-mir-1260b,39.60503782
hsa-mir-3652,39.4374015491
hsa-mir-3142,38.8199945555
hsa-mir-3913-1,38.6795171906
hsa-mir-1-1,38.660570363
hsa-mir-1908,38.5466246972
hsa-mir-217,38.3740001317
hsa-mir-3651,38.2246272168
hsa-mir-3198,38.1256487412
hsa-mir-3690,38.01796489
hsa-mir-223,37.7160028884
hsa-mir-641,36.9730985159
hsa-mir-597,35.7895782944
hsa-mir-3174,35.7568904467
hsa-mir-1248,35.4818259828
hsa-mir-374c,35.3921511334
hsa-mir-150,35.2986806151
hsa-mir-3161,35.282868722
hsa-mir-3668,35.1744397189
hsa-mir-4286,35.1580653617
hsa-mir-3155,34.1282063831
hsa-mir-1285-1,34.0258107596
hsa-mir-3150,33.609726492
hsa-mir-3146,33.2835146414
hsa-mir-3135,33.2521829152
hsa-mir-3609,33.2397378655
hsa-mir-578,33.0801801618
hsa-mir-3144,32.8063285934
hsa-mir-720,31.4588144987
hsa-mir-933,31.3015797522
hsa-mir-2278,31.1938919252
hsa-mir-3916,31.1794024199
hsa-mir-3197,31.081946102
hsa-mir-1-2,30.7171703659
hsa-mir-1247,30.6915680234
hsa-mir-551a,30.587195001
hsa-mir-3659,30.3803087737
hsa-mir-216b,30.2091437977
hsa-mir-3920,29.9854886464
hsa-mir-187,29.7366484997
hsa-mir-548l,29.6045760218
hsa-mir-3185,29.5259963325
hsa-mir-320e,29.4617619716
hsa-mir-3188,28.9792158727
hsa-mir-548k,28.6684097947
hsa-mir-3126,28.6439717433
hsa-mir-144,28.5845191562
hsa-mir-642a,28.5560931703
hsa-mir-1267,28.5263901477
hsa-mir-3133,28.2894193889
hsa-mir-548q,28.2215683398
hsa-mir-1539,27.817472817
hsa-mir-561,27.8166345393
hsa-mir-216a,27.2198014055
hsa-mir-3661,26.8517899827
hsa-mir-490,26.7757610449
hsa-mir-1238,26.5460893544
hsa-mir-1286,26.102460502
hsa-mir-1227,26.048388458
hsa-mir-3180-4,25.7616478371
hsa-mir-208b,25.7255869227
hsa-mir-3611,25.3162752818
hsa-mir-1237,25.0240616626
hsa-mir-3158-1,24.8701268875
hsa-mir-3681,24.8559214304
hsa-mir-548n,24.8521782535
hsa-mir-3927,24.6374020629
hsa-mir-1234,24.3752036807
hsa-mir-611,24.3316596241
hsa-mir-572,24.2776857442
hsa-mir-3654,24.2463481764
hsa-mir-2114,24.1817421428
hsa-mir-3910-2,24.0287929767
hsa-mir-3131,23.9302067109
hsa-mir-3178,23.8001122914
hsa-mir-1236,23.6798357141
hsa-mir-3646,23.501340378
hsa-mir-3911,23.4848178787
hsa-mir-1253,23.2330038141
hsa-mir-1294,22.6221899116
hsa-mir-3119-2,22.5696241674
hsa-mir-675,22.4171685349
hsa-mir-466,21.6042621792
hsa-mir-653,21.5876826935
hsa-mir-943,21.3916480238
hsa-mir-1295,21.3462254638
hsa-mir-3139,21.2463495453
hsa-mir-587,20.9492782642
hsa-mir-3618,20.8799660429
hsa-mir-1909,20.8456442017
hsa-mir-1258,20.563183633
hsa-mir-552,20.281583818
hsa-mir-489,20.250179066
hsa-mir-4262,19.6616794862
hsa-mir-3115,19.4616171137
hsa-mir-4306,19.3825717505
hsa-mir-549,19.1973675625
hsa-mir-3660,19.0373069176
hsa-mir-486,18.6922826649
hsa-mir-3918,18.6856536294
hsa-mir-3124,18.616322893
hsa-mir-3169,18.1224362473
hsa-mir-663,17.8015061194
hsa-mir-3128,17.6709712572
hsa-mir-605,17.0825255328
hsa-mir-3129,16.6477905133
hsa-mir-3116-2,16.4579667891
hsa-mir-3164,16.2628815602
hsa-mir-451,16.1509233119
hsa-mir-1263,16.1423901323
hsa-mir-662,15.9088681462
hsa-mir-34c,15.8552230517
hsa-mir-1252,15.6622252441
hsa-mir-657,15.6577907977
hsa-mir-1257,15.5950544201
hsa-mir-1255a,15.0421069816
hsa-mir-802,15.0097289815
hsa-mir-526a-2,14.9521231045
hsa-mir-3692,14.7173810209
hsa-mir-3149,14.7172185614
hsa-mir-588,14.3316691891
hsa-mir-3121,14.2394223586
hsa-mir-3935,13.8733684256
hsa-mir-938,13.8266893646
hsa-mir-1305,13.5598711396
hsa-mir-3195,13.4400379264
hsa-mir-1913,13.4222142505
hsa-mir-3662,13.3823305266
hsa-mir-3650,13.1714917185
hsa-mir-34b,13.0407330764
hsa-mir-1256,12.8657821267
hsa-mir-3147,12.8156207461
hsa-mir-3921,12.7560483507
hsa-mir-1304,12.7496138217
hsa-mir-499,12.6295962375
hsa-mir-564,12.2519108072
hsa-mir-936,12.055855176
hsa-mir-492,12.0403825074
hsa-mir-1289-1,12.0078486673
hsa-mir-2115,11.9647850483
hsa-mir-3606,11.4329818661
hsa-mir-1915,11.3231173519
hsa-mir-1231,11.2532776709
hsa-mir-3648,11.1220779702
hsa-mir-3675,10.9573072167
hsa-mir-3945,10.9283233234
hsa-mir-614,10.8929827784
hsa-mir-298,10.779058529
hsa-mir-147,10.5180135826
hsa-mir-3163,10.3833737508
hsa-mir-1260,10.3776992764
hsa-mir-3175,10.2403786265
hsa-mir-3936,10.1426027534
hsa-mir-544b,10.0043376445
hsa-mir-550b-2,9.8727747139
hsa-mir-550b-1,9.8489924715
hsa-mir-622,9.3507765145
hsa-mir-3179-3,9.2014214265
hsa-mir-1290,9.0639270342
hsa-mir-3687,8.9450040797
hsa-mir-184,8.9119000761
hsa-mir-208a,8.8501410071
hsa-mir-613,8.7595384324
hsa-mir-610,8.6863254538
hsa-mir-603,8.6016127167
hsa-mir-1265,8.5117946226
hsa-mir-4284,7.7870078079
hsa-mir-3180-5,7.6660789138
hsa-mir-3179-2,7.660276628
hsa-mir-3167,7.5307255222
hsa-mir-198,7.5272255542
hsa-mir-204,7.3154833703
hsa-mir-4285,7.1262147914
hsa-mir-609,6.9344791027
hsa-mir-3120,6.8210787782
hsa-mir-3914-1,6.6942914819
hsa-mir-1182,6.6259219878
hsa-mir-642b,6.5508972643
hsa-mir-3663,6.527788061
hsa-mir-645,6.5052860752
hsa-mir-3908,6.258859476
hsa-mir-3160-1,6.188659725
hsa-mir-586,6.0572029692
hsa-mir-3186,6.0299995057
hsa-mir-548m,5.9988926916
hsa-mir-3196,5.9471397315
hsa-mir-1178,5.9421620221
hsa-mir-1322,5.8928342887
hsa-mir-555,5.8723394384
hsa-mir-3148,5.8084032836
hsa-mir-3656,5.6704115821
hsa-mir-663b,5.6104863334
hsa-mir-548p,5.5577609146
hsa-mir-3181,5.3948049414
hsa-mir-1302-3,5.3940247785
hsa-mir-3202-1,5.3537252809
hsa-mir-3672,5.3161840634
hsa-mir-617,5.2089779948
hsa-mir-3925,5.1091363883
hsa-mir-3153,5.0961251101
hsa-mir-718,5.0548463923
hsa-mir-3162,5.019589158
hsa-mir-3180-1,4.9232767676
hsa-mir-3657,4.9060301405
hsa-mir-3116-1,4.8796977155
hsa-mir-3923,4.8695187355
hsa-mir-3180-3,4.6675118035
hsa-mir-922,4.6523533399
hsa-mir-548w,4.6417233856
hsa-mir-3165,4.5175348463
hsa-mir-626,4.5143398122
hsa-mir-300,4.5055622146
hsa-mir-1205,4.4990850454
hsa-mir-3689b,4.4607828253
hsa-mir-1273,4.4603878198
hsa-mir-4267,4.3175965933
hsa-mir-3179-1,4.1395194197
hsa-mir-3180-2,4.0656234973
hsa-mir-3689a,3.9304743289
hsa-mir-575,3.6409902714
hsa-mir-633,3.5934293263
hsa-mir-3658,3.584875695
hsa-mir-1289-2,3.579665473
hsa-mir-3914-2,3.5764183441
hsa-mir-548h-3,3.5517083587
hsa-mir-1246,3.5466619715
hsa-mir-941-1,3.4562446349
hsa-mir-4278,3.4206256767
hsa-mir-3674,3.4025741427
hsa-mir-602,3.3818568278
hsa-mir-3919,3.3187991926
hsa-mir-3685,3.2998850238
hsa-mir-3649,3.2722117379
hsa-mir-1244-1,3.2587719416
hsa-mir-3686,3.1137886403
hsa-mir-631,3.088852286
hsa-mir-4322,3.0733531082
hsa-mir-647,3.029045904
hsa-mir-3156-1,2.9673625451
hsa-mir-650,2.9252860626
